Crop,Employee ID,Status,Inquiry Type,Inquiry Topic,Product Segment,Date,# of Inquiry,# of Inquirer,Resolution Time (min),Assigned Team,Source,Gender,State,Township
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/19/2022,1,1,9.67,Contact Center Team,Messenger,Female,Shan (South),Kyangin
Rice,40420,Solved,Farming Practices,General Preventions,Farming Information,9/19/2022,1,1,23.67,Contact Center Team,Messenger,Female,Shan (South),Kyangin
Non Service Crops,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/19/2022,1,1,30,Contact Center Team,Messenger,Female,Shan (South),Ngapudaw
Groundnut,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/19/2022,1,1,28,Contact Center Team,Messenger,Female,Shan (South),Ngapudaw
Non Service Crops,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/19/2022,1,1,23,Contact Center Team,Messenger,Female,Shan (South),Ngapudaw
Rice,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/19/2022,1,1,16,Contact Center Team,Messenger,Female,Shan (South),Ngapudaw
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/19/2022,1,1,36,Contact Center Team,Messenger,Female,Shan (South),Kyangin
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/19/2022,1,1,9.33,Contact Center Team,Messenger,Female,Shan (South),Kyangin
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/19/2022,1,1,41,Contact Center Team,Messenger,Female,Shan (South),Kyangin
Onion,40420,Solved,Farming Practices,General Preventions,Farming Information,9/19/2022,1,1,7,Contact Center Team,Messenger,Female,Shan (South),Kyangin
Chili,40420,Solved,Farming Practices,General Preventions,Farming Information,9/19/2022,1,1,15,Contact Center Team,Messenger,Female,Shan (South),Kyangin
Rice,40420,Solved,Farming Practices,General Preventions,Farming Information,9/19/2022,1,1,33.33,Contact Center Team,Messenger,Female,Shan (South),Kyangin
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/19/2022,1,1,30,Contact Center Team,Messenger,Female,Shan (South),Kyangin
Chili,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/19/2022,1,1,15,Contact Center Team,Messenger,Female,Shan (South),Ngapudaw
Chili,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/19/2022,1,1,13.67,Contact Center Team,Messenger,Female,Shan (South),Ngapudaw
Chili,40420,Solved,Farming Practices,General Preventions,Farming Information,9/19/2022,1,1,27,Contact Center Team,Messenger,Female,Shan (South),Kyangin
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/19/2022,1,1,10.67,Contact Center Team,Messenger,Female,Shan (South),Kyangin
Chili,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/19/2022,1,1,24,Contact Center Team,Messenger,Female,Shan (South),Ngapudaw
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/19/2022,1,1,28.67,Contact Center Team,Messenger,Female,Shan (South),Kyangin
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/19/2022,1,1,22.33,Contact Center Team,Messenger,Female,Shan (South),Kyangin
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/19/2022,1,1,38.33,Contact Center Team,Messenger,Female,Shan (South),Kyangin
Non Service Crops,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/19/2022,1,1,32.67,Contact Center Team,Messenger,Female,Shan (South),Ngapudaw
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/19/2022,1,1,26.33,Contact Center Team,Messenger,Female,Shan (South),Kyangin
Groundnut,40420,Solved,Farming Practices,General Preventions,Farming Information,9/19/2022,1,1,17.33,Contact Center Team,Messenger,Female,Shan (South),Kyangin
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/19/2022,1,1,29.67,Contact Center Team,Messenger,Female,Shan (South),Kyangin
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/20/2022,1,1,37.67,Contact Center Team,Messenger,Female,Shan (South),Minhla
Non Service Crops,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/20/2022,1,1,27.67,Contact Center Team,Messenger,Female,Shan (South),Kangyidaunt
Groundnut,40420,Solved,Farming Practices,General Preventions,Farming Information,9/20/2022,1,1,31,Contact Center Team,Messenger,Female,Shan (South),Minhla
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/20/2022,1,1,32.67,Contact Center Team,Messenger,Female,Shan (South),Minhla
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/20/2022,1,1,1,Contact Center Team,Messenger,Female,Shan (South),Minhla
Tomato,40420,Solved,Farming Practices,General Preventions,Farming Information,9/20/2022,1,1,18.33,Contact Center Team,Messenger,Female,Shan (South),Minhla
Non Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/20/2022,1,1,51,Contact Center Team,Messenger,Female,Shan (South),Minhla
Sesame,40420,Solved,Farming Practices,General Preventions,Farming Information,9/20/2022,1,1,49,Contact Center Team,Messenger,Female,Shan (South),Minhla
Chili,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/20/2022,1,1,13.33,Contact Center Team,Messenger,Female,Shan (South),Kangyidaunt
Chili,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/20/2022,1,1,13,Contact Center Team,Messenger,Female,Shan (South),Kangyidaunt
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/20/2022,1,1,27.33,Contact Center Team,Messenger,Female,Shan (South),Minhla
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,9/20/2022,1,1,13.67,Contact Center Team,Messenger,Female,Shan (South),Minhla
Onion,40420,Solved,Farming Practices,General Preventions,Farming Information,9/20/2022,1,1,20,Contact Center Team,Messenger,Female,Shan (South),Minhla
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,10/3/2022,1,1,16.33,Contact Center Team,Messenger,Female,Shan (South),Mawlamyine
Rice,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,10/3/2022,1,1,30.67,Contact Center Team,Messenger,Female,Shan (South),Kyangin
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,10/3/2022,1,1,16.67,Contact Center Team,Messenger,Female,Shan (South),Mawlamyine
Rice,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,10/3/2022,1,1,40.33,Contact Center Team,Messenger,Female,Shan (South),Kyangin
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,10/3/2022,1,1,38,Contact Center Team,Messenger,Female,Shan (South),Mawlamyine
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,10/3/2022,1,1,23.33,Contact Center Team,Messenger,Female,Shan (South),Mawlamyine
Chili,40420,Solved,Farming Practices,General Preventions,Farming Information,10/3/2022,1,1,26.67,Contact Center Team,Messenger,Female,Shan (South),Mawlamyine
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,10/4/2022,1,1,57,Contact Center Team,Messenger,Female,Shan (South),Thazi
Onion,40420,Solved,Farming Practices,General Preventions,Farming Information,10/4/2022,1,1,39,Contact Center Team,Messenger,Female,Shan (South),Thazi
Rice,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,10/4/2022,1,1,31,Contact Center Team,Messenger,Male,Shan (South),Bogale
Rice,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,10/4/2022,1,1,20,Contact Center Team,Messenger,Male,Shan (South),Bogale
Black gram,40420,Solved,Farming Practices,General Preventions,Farming Information,10/4/2022,1,1,33.33,Contact Center Team,Messenger,Female,Shan (South),Thazi
Potato,40420,Solved,Farming Practices,General Preventions,Farming Information,10/4/2022,1,1,21.67,Contact Center Team,Messenger,Female,Shan (South),Thazi
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,10/4/2022,1,1,22,Contact Center Team,Messenger,Female,Shan (South),Thazi
Non Service Crops,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,10/4/2022,1,1,11,Contact Center Team,Messenger,Male,Shan (South),Bogale
Black gram,40420,Solved,Farming Practices,General Preventions,Farming Information,10/19/2022,1,1,20.33,Contact Center Team,Messenger,Female,Shan (South),Kyaiklat
Green gram,40420,Solved,Farming Practices,General Preventions,Farming Information,10/19/2022,1,1,6.33,Contact Center Team,Messenger,Female,Shan (South),Kyaiklat
Onion,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,10/25/2022,1,1,6,Contact Center Team,Messenger,Female,Shan (South),Hinthada
Groundnut,40420,Solved,Farming Practices,General Preventions,Farming Information,10/25/2022,1,1,47,Contact Center Team,Messenger,Female,Shan (South),Ingapu
Rice,40420,Solved,Farming Practices,General Preventions,Farming Information,10/26/2022,1,1,7.33,Contact Center Team,Messenger,Female,Shan (South),Shwedaung
Black gram,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,10/26/2022,1,1,10.5,Contact Center Team,Messenger,Female,Shan (South),Pantanaw
Green gram,40420,Solved,Farming Practices,General Preventions,Farming Information,10/26/2022,1,1,9.33,Contact Center Team,Messenger,Female,Shan (South),Shwedaung
Non Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,10/26/2022,1,1,36.67,Contact Center Team,Messenger,Female,Shan (South),Shwedaung
Groundnut,40420,Solved,Farming Practices,General Preventions,Farming Information,10/26/2022,1,1,22.5,Contact Center Team,Messenger,Female,Shan (South),Shwedaung
Chili,40420,Solved,Farming Practices,General Preventions,Farming Information,10/26/2022,1,1,28.67,Contact Center Team,Messenger,Female,Shan (South),Shwedaung
Tomato,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,10/26/2022,1,1,22,Contact Center Team,Messenger,Female,Shan (South),Pantanaw
Non Service Crops,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,10/26/2022,1,1,1,Contact Center Team,Messenger,Female,Shan (South),Pantanaw
Onion,40420,Solved,Farming Practices,General Preventions,Farming Information,10/26/2022,1,1,35,Contact Center Team,Messenger,Female,Shan (South),Shwedaung
Non Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,10/26/2022,1,1,30,Contact Center Team,Messenger,Female,Shan (South),Shwedaung
Rice,40420,Solved,Farming Practices,General Preventions,Farming Information,10/26/2022,1,1,17.67,Contact Center Team,Messenger,Female,Shan (South),Shwedaung
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,10/26/2022,1,1,9.33,Contact Center Team,Messenger,Female,Shan (South),Shwedaung
Green gram,40420,Solved,Farming Practices,General Preventions,Farming Information,10/26/2022,1,1,23,Contact Center Team,Messenger,Female,Shan (South),Shwedaung
Chili,40420,Solved,Farming Practices,General Preventions,Farming Information,10/26/2022,1,1,24,Contact Center Team,Messenger,Female,Shan (South),Shwedaung
Rice,40420,Solved,Farming Practices,General Preventions,Farming Information,10/26/2022,1,1,6.33,Contact Center Team,Messenger,Female,Shan (South),Shwedaung
Chili,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,10/26/2022,1,1,14,Contact Center Team,Messenger,Female,Shan (South),Pantanaw
Groundnut,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,10/26/2022,1,1,17.33,Contact Center Team,Messenger,Female,Shan (South),Pantanaw
Green gram,40420,Solved,Farming Practices,General Preventions,Farming Information,10/26/2022,1,1,22,Contact Center Team,Messenger,Female,Shan (South),Shwedaung
Green gram,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,10/26/2022,1,1,31,Contact Center Team,Messenger,Female,Shan (South),Pantanaw
Black gram,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,10/26/2022,1,1,21.33,Contact Center Team,Messenger,Female,Shan (South),Pantanaw
Non Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,10/26/2022,1,1,29.33,Contact Center Team,Messenger,Female,Shan (South),Shwedaung
Non Service Crops,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,10/27/2022,1,1,31.67,Contact Center Team,Messenger,Female,Shan (South),Nyaungdon
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,10/27/2022,1,1,2,Contact Center Team,Messenger,Female,Shan (South),Maubin
Non Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,10/27/2022,1,1,26.67,Contact Center Team,Messenger,Female,Shan (South),Maubin
Black gram,40420,Solved,Farming Practices,General Preventions,Farming Information,10/27/2022,1,1,24.33,Contact Center Team,Messenger,Female,Shan (South),Maubin
Sesame,40420,Solved,Farming Practices,General Preventions,Farming Information,10/27/2022,1,1,29.33,Contact Center Team,Messenger,Female,Shan (South),Maubin
Non Service Crops,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,10/27/2022,1,1,22.67,Contact Center Team,Messenger,Female,Shan (South),Nyaungdon
Non Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,10/27/2022,1,1,1,Contact Center Team,Messenger,Female,Shan (South),Maubin
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,10/27/2022,1,1,51,Contact Center Team,Messenger,Female,Shan (South),Maubin
Sesame,40420,Solved,Farming Practices,General Preventions,Farming Information,10/27/2022,1,1,35,Contact Center Team,Messenger,Female,Shan (South),Maubin
Black gram,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,10/27/2022,1,1,31,Contact Center Team,Messenger,Female,Shan (South),Nyaungdon
Black gram,40420,Solved,Farming Practices,General Preventions,Farming Information,10/27/2022,1,1,15.67,Contact Center Team,Messenger,Female,Shan (South),Maubin
Groundnut,40420,Solved,Farming Practices,General Preventions,Farming Information,10/27/2022,1,1,21,Contact Center Team,Messenger,Female,Shan (South),Maubin
Black gram,40420,Solved,Farming Practices,General Preventions,Farming Information,10/27/2022,1,1,17.33,Contact Center Team,Messenger,Female,Shan (South),Maubin
Black gram,40420,Solved,Farming Practices,General Preventions,Farming Information,10/27/2022,1,1,23,Contact Center Team,Messenger,Female,Shan (South),Maubin
Rice,40420,Solved,Farming Practices,General Preventions,Farming Information,10/27/2022,1,1,12,Contact Center Team,Messenger,Female,Shan (South),Maubin
Black gram,40420,Solved,Farming Practices,General Preventions,Farming Information,10/27/2022,1,1,12,Contact Center Team,Messenger,Female,Shan (South),Maubin
Non Service Crops,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,10/27/2022,1,1,7.67,Contact Center Team,Messenger,Female,Shan (South),Nyaungdon
Non Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,10/28/2022,1,1,24.33,Contact Center Team,Messenger,Female,Shan (South),Phyu
Rice,40420,Solved,Farming Practices,General Preventions,Farming Information,10/28/2022,1,1,4,Contact Center Team,Messenger,Female,Shan (South),Phyu
Rice,40420,Solved,Farming Practices,General Preventions,Farming Information,10/28/2022,1,1,30,Contact Center Team,Messenger,Female,Shan (South),Phyu
Rice,40420,Solved,Farming Practices,General Preventions,Farming Information,10/28/2022,1,1,26.33,Contact Center Team,Messenger,Female,Shan (South),Phyu
Green gram,40420,Solved,Farming Practices,General Preventions,Farming Information,10/28/2022,1,1,11.67,Contact Center Team,Messenger,Female,Shan (South),Phyu
